Text,Type
ไว้จะมาอุดหนุนใหม่นะคะ,P
"ร้านค้าแพ็คของดีมาก ดูใส่ใจลูกค้า
เปิดกล่องมากลิ่นหอมฟุ้งเลย",P
สินค้าได้เร็ว คุณภาพสินค้าดีค่ะ,P
อร่อยค่ะหวานกำลังดี,P
สินค้าตรงตามที่สั่ง เนื้อผ้าดีมากๆ ชอบตรงเป้า2ชั้น ยืดได้เยอะ ใส่ไม่อึดอัด ทางร้านค้าเทคแคร์ดีมาก โอกาศหน้าจะต้องสั่งอีกแน่ๆ,P
ได้รับของแล้วหอมมากแถมส่งเร็วทันใจอีกด้วยกินหมดแล้วจะสั่งเพิ่มนะคะ ส่งก็ไหว ชาก็หอมคือดีงามค่ะ,P
สั่งซื้อ​รอบสองแล้วค่ะ ถูกสวยแล้วดี,P
ดีมากเลยคุ้มค่า,P
อร่อยดีค่ะ กินเพลินๆ ถ้าไม่ลงใต้คงไม่ได้กินค่ะ,P
"หอม อร่อยมากกกกกก ถึงกับต้องกลัยมาสั่งอีก รอบหน้าจะลองทำผสมระหว่างชาไทย ตราหมาดู น่าจะเข้ากันสุดๆ กลับมาสั่งอีกแน่นอนค่ะ ชาหอมจริงๆ ทำขายได้สบายเลย
กำลังอนะนำให้พี่สาวสั่งไปค่ะ",P
หอมหวานค่ะ. อร่อย. ,P
คุณภาพของสินค้าดีมาก ความคุ้มค่าดีมาก ปลาชิ้นกำลังดีไม่เล็กเกิน แพ็คมาอย่างดีไม่มีกลิ่นเลย จัดส่งรวดเร็วดี การให้บริการจากร้านค้าดี ,P
กรอบ อร่อยมากค่ะ,P
หอม อร่อย หวานน้อย ,P
เผ็ดมากกกชอบ อร่อยดี ถึงเครื่องแกง,P
อร่อย​ หอม​ เข็มข้นมาก,P
คุ้มมากๆสินค้าดี,P
สีสันลายสวยคุ้มค่าดี,P
สินค้าดีมากเลยค่ะ ชอบมากค่ะ,P
จัดส่งขนมอย่างรวดเร็ว ถุงขนมไม่มีการเป็นรูหรือฉีกขาด รสชาติขนมเหมือนกับขนมจาก ต่างกันที่อันนี้มีแป้งๆข้างนอก โดยรวมแล้วโอเค,P
เพิ่งลองสั่งซื้อครั้งแรกค่ะ แล้วก็ประทับใจมากมว้ากกกกกก แม่ค้าน่ารัก มีเขียนมาแนะนำ สอบถาม และอธิบายกรรมวิธีการเก็บรักษา การทำอาหาร เคล็ดลับ และเข้าใจ ดูแลเข้าใจลูกค้า .. ที่บ้านชอบทานปลาอินทรีย์เค็มมาก พอได้รับของ ดูรู้เลยว่า มีความสดใหม่ ความมันจากในเนื้อปลา ชิ้นพอเหมาะ คุ้มค่า คุ้มราคาจริงๆ ค่ะ ไว้จะอุดหนุนอีกนะคะ,P
สินค้าคุณภาพดีมาก เกินราคา แพ้คสินค้ามาดีมาก ทางร้านบริการดีมีของแถมมาด้วย,P
เครื่องแกงหอมมากๆค่ะ,P
ส่งมาผิดสี ส่งแต่สีขาวมาให้3 คู่เลย ถ้าไม่มีสีที่ต้องการควรแจ้งลูกค้า ไม่ใช่ให้ตีคืน ส่งไปส่งมา ค่าส่งน่าจะมากกว่าราคาสินค้า ต้องแก้ตั้งแต่ต้นทางค่ะ,N
ไม่อร่อยเท่าที่เคยกิน ,N
แอบหย่อนกิโลไปนิด,N
มีทั่งดอกเล็กและใหญ่​ บางและแตกหักไม่เต็มดอก,N
สำหรับเรามันไม่ค่อยอร่อย มันจะร่วนๆแข็งๆ น้ำมันเยอะมากเลยค่ะ  ,N
สำหรับเราไม่ค่อยโอ,N
มันไปหน่อย มีเคลือบน้ำตาลด้านนอกด้วย ,N
ไม่ค่อยอร่อยเท่าไหร่,N
สั่ง3แพค แต่มีอยุ่1ชิ้นที่ปลาเละเป็นน้ำเรย,N
ได้สินค้ามาไม่ตรงกับที่ต้องการ,N
ปลาโคตรเค็ม.กินแล้วกลัวเป็นโรคไต,N
มีหนอนนะค่ะ..,N
หักคะแนนเพราะส่งสินค้าไม่ครบ ,N
ขนาดเล็กกว่าที่คิด ,N
ได้ลายซ้ำกันไป,N
ไม่ตรงตามแบบ ,N
เหมือนตัวจะเล็กไปหน่อยสำหรับเอว24​ ,N
อบไม่ค่อยแห้งเท่าไหร่ค่ะ ออกจะแฉะแล้วก็ไม่ค่อยเป็นเม็ดค่ะ,N
การขนล่าช้ามากค่ะ ,N
ไซต์เล็กกว่าปกติมาก,N
ได้รับสินค้าไม่ตรงไซน์ที่สั่ง,N
ควรจะบอกให้ขัดเจนว่าสินค้า น้ำหนักนี้ เป็นผลไม้มีเมล็ดหรือเอาเมล็ดออกให้แล้ว เพื่อง่ายต่อการตัดสินใจสั่งซื้อ,N
ตัวเล็กเกินไซร์Lน่าจะใหญ่กว่านี้นิดนึงแต่คุ้มราคาใว้ให้เด็กใส่ได้,N
เล็กกว่าไซค์ปกติ,N
การให้บริการจากบริษัทขนส่งแย่ ,N
น่าจะแจ้งก่อนนะคะ ไม่ใช่ปล่อยให้งง ,N
คุณภาพไม่เหมือนกินสมัยแต่ก่อน รสเฝื่อนนิดๆ,N
เป็นแบบตักชั่งกิโลผูกหนังยาง ไม่คิดว่าบรรจุภัณฑ์จะเป็นแบบนี้ ,N
แต่บางตัวมีตำหนิเป็นรอยสนิมจากเข็มกลัด เหมือนเอาของเก่าปนมา ,N
อมน้ำมันไปนิดนึง,N
แอบผิดหวังกับลายค่ะ ลายเกิน ไม่หวานเลยสักนิด,N
ขนาดไม่เท่ากันค่ะ,N
ความรวดเร็วในการจัดส่งช้ามาก,N
มีรอยขาด,N
การจัดส่งช้ากว่ากำหนด 3 วันค่ะ,N
ส่งผิดขนาดผิดสีมาให้,N
สั่งสีดำได้สีเนื้อค่ะ,N
ลูกใส่แล้วรั้งคะ ใส่ไม่พอดีเลยคะ,N
มีตำหนินิดหน่อย,N
ได้สินค้าไม่ตรงกับที่แจ้งแม่ค้าไปค่ะ,N
ส่งช้าอ้ะ เปนอาทิต,N
เห็ดหอมมีก้านทำให้น้ำหนักเยอะแล้วก็เก่า,N
สั่งของผู้ชายได้ของผู้หญิงมาแทน,N
ลองกินแล้ว มันไม่นุบนับอร่อยอย่างที่คิด,N
ส่งผิดไซส์ ทั้ง 3 ตัว ทักแชท แม่ค้าไม่อ่านแชทเลย,N
ความคุ้มค่าแย่,N
ตามตลาดนัดขายคู่ละ10฿. รวมส่งก้ตกคู่ละ10฿เหมือนกัน. ถือว่ายังไม่มีความคุ้มค่ารึพิเศษอะไรค่ะ.,N
สั่ง10ตัว. ลายเดียวกัน5ตัวคละสี. ลายเดียวกันสีเดียวกัน3ตัว. ไม่ปลื้ม,N
ถามแชทไปทางร้านไม่ตอบเลยค่ะ แต่เห็นออนไลน์ กดรับสินค้าให้ก่อนแล้วด้วย แต่การบริการไม่โอเครเลยค่ะ ,N
คุณภาพของสินค้าแย่/ตัวเล็กกว่าขนาดไซด์ผ้าบาง,N
ความรวดเร็วในการจัดส่งแย่มาก การให้บริการจากร้านค้าแย่มาก,N
การให้บริการจากร้านค้าแย่มากๆ ตอนแรกให้3ดาว สั่งซื้อ20ได้19 แพ็คของไม่ละเอียด ,N
เจอแม่ค้ามาต่อว่า ขอให้1 ดาวละกัน ยังมาตำหนิว่าซื้อของถูก แล้วของขาดนี่ให้ชมหรอคะ,N
สั่ง20ควรได้19ถูกต้องสินะ คิดได้ ตรรกะใช้ได้ แทนที่จะแก้ไข ไม่มีสำนึก ขอให้ขายของดีนะจ้ะ ,N
"สั่งกางเกงในเด็กผู้ชายไซส์XL แต่ทำไมตัวเล็กมากๆเหมือนไซส์ M เลย แบบที่ส่งมาให้ไม่สวยเหมือนในรูปที่โชว์
ผิดหวังค่ะ",N
สินค้าไม่ได้ตามที่สั่ง ไม่เหมือนในภาพ,N
หวาน ไม่อร่อย สากๆยังไงไม่รู้คะ ,N
สั่งอย่างหนึ่งได้อย่างหนึ่ง สมกับราคาอะน่ะ,N
ส่งขาด1ตัว  คุณภาพสินค้าโอเค ขนส่งเร็ว แต่เจอไม่คุ้มกับความรู้สึกเมื่อเจอ  การให้บริการไม่ประทับใจเลย คงไม่อุดหนุนละค่ะ,N
ถุงเท้าแข็งมากใส่ไม่สบายเลย,N
ถ้าคุณยอมรับความคิดเห็นไม่ได้ยังสมควรขายสินค้าอยู่มั้ย,N
"ถ้าคิดจะขายของแล้วยอมรับไม่ได้ต้องพิจารณาตัวเองแล้วคะ
คิดเยอะๆคะ. อย่าใช้อารมณ์ ใช้สมองคะ",N
แม่ค้าร้านนี้ไม่รับฟังความคิดเห็นของลูกค้าโปรดระวังด้วยคะ  ขอเตือน  ,N
ถ้าคิดจะเตือนแม่ค้าไม่ต้องเตือนคะ ซื้อร้านอื่นเลยคะ คนแบบนี้ไม่ไหวจริงๆ,N
การให้บริการจากร้านค้าแย่มาก,N
คุณภาพของสินค้าแย่มาก ความคุ้มค่าแย่มาก ใส่ 1 ครั้ง เป้าขาด เลยทิ้งทั้งหมดที่ซื้อ,N
คุณภาพของสินค้าบางเกิน ไม่เหมือนที่ซื้อ 10 บาทของเจ้าอื่น,N
คุณภาพของสินค้าแย่มาก ความรวดเร็วในการจัดส่งแย่มากสินค้าดูเก่าดีค่ะเนื้อผ้าบางเฉียบ,N
ความคุ้มค่าแย่มาก,N
ส่งช้า,N
